Najom,Rozloha
765.0,84.97
315.2,53.43
310.0,62.0
452.25,60.3
580.0,53.0
316.0,31.0
335.0,12.0
300.3,56.66
2780.0,100.0
246.0,43.93
400.0,65.0
820.0,77.0
285.0,36.29
365.0,79.0
690.0,52.0
280.0,53.12
396.8,62.0
320.0,42.0
345.0,70.0
360.0,52.2
263.0,46.61
229.0,32.61
450.0,90.0
465.0,61.0
1465.0,113.94
1338.43,73.54
1970.0,164.0
1008.0,97.0
2290.0,142.0
170.0,41.19
1734.0,137.0
600.0,50.0
333.8,60.69
285.12,54.0
340.0,60.0
220.0,48.0
583.0,66.62
290.0,58.0
1175.0,93.94
420.0,67.8
234.0,45.81
865.52,82.43
660.0,84.0
310.0,68.0
697.81,104.15
910.0,105.92
1299.0,90.3
680.0,110.0
330.0,27.5
275.0,55.36
710.0,74.5
700.0,67.43
1150.0,82.0
495.0,54.11
432.0,58.0
556.35,74.18
1275.0,145.0
685.0,82.0
325.0,58.0
2225.0,165.68
258.0,42.9
550.0,120.0
380.0,58.0
590.0,59.0
326.0,52.46
273.0,46.95
560.0,80.0
399.99,63.8
300.0,68.95
361.0,69.55
290.0,44.0
587.0,57.25
350.0,59.5
1444.0,58.0
300.0,65.77
495.0,100.82
490.0,106.16
462.0,64.75
540.0,90.0
690.0,84.0
760.0,108.0
249.9,56.56
965.0,85.82
375.0,70.0
720.0,68.0
420.0,42.0
1680.0,91.0
498.76,62.19
320.0,65.34
520.56,48.2
625.0,82.0
309.0,60.05
229.0,43.9
290.0,65.0
320.0,54.43
296.1,47.0
422.14,63.48
1264.49,107.16
634.95,74.7
950.0,69.0
429.0,56.0
195.0,39.0
292.0,59.5
403.75,85.0
500.0,53.0
1150.0,95.0
263.0,41.0
400.0,80.0
1150.0,68.76
828.0,69.0
850.0,114.0
400.0,61.0
265.0,37.5
1240.0,111.7
395.0,49.32
300.0,60.0
219.42,36.57
180.61,26.56
240.0,60.0
750.0,77.0
471.5,77.0
520.0,49.0
615.0,78.5
290.0,63.0
180.0,45.15
450.0,83.37
878.48,110.0
245.0,49.0
350.0,66.0
600.0,52.0
640.0,82.0
335.0,60.0
540.0,61.4
1100.0,105.0
380.0,32.0
415.0,73.45
320.0,63.0
1456.35,97.09
145.0,33.4
620.0,75.0
1650.0,156.0
390.0,43.9
980.0,106.0
240.0,35.44
1600.0,151.0
291.2,50.2
1000.0,90.0
950.0,130.0
604.0,83.31
950.0,65.0
1337.22,116.28
385.0,76.83
309.84,35.0
1690.0,67.58
409.0,72.2
400.0,78.15
1080.0,79.99
800.0,89.0
435.0,51.28
1698.64,99.92
325.0,49.97
110.0,19.38
1120.0,86.02
699.0,69.96
595.0,21.0
1163.0,178.9
320.0,59.45
590.0,130.0
1247.7,145.0
650.0,20.0
920.0,50.0
1950.0,135.0
1050.0,125.0
410.0,63.0
1200.0,80.0
340.0,28.0
660.24,94.32
400.0,74.32
366.13,55.32
1590.0,130.0
350.0,74.0
260.0,37.65
890.0,90.0
1104.53,98.18
419.0,53.03
608.0,78.0
340.0,55.0
990.0,116.0
1290.0,104.07
749.0,69.75
495.0,74.0
308.36,53.45
450.0,87.0
225.0,45.0
389.0,60.0
689.0,98.0
337.0,61.43
320.0,66.0
410.0,72.0
480.0,63.62
490.0,70.0
307.0,76.02
270.0,54.3
799.0,75.16
770.0,78.98
980.0,115.0
320.0,68.0
423.5,60.5
260.0,28.22
805.8,52.0
245.0,32.61
730.0,77.0
740.0,69.02
550.0,67.08
750.0,100.0
350.0,63.57
330.0,58.55
690.0,15.0
550.0,89.5
380.0,84.0
395.0,60.0
420.0,60.04
195.0,34.96
347.0,59.73
650.0,90.0
1100.0,84.5
577.0,48.11
